Unnamed: 0,municipality
0,Alphen-Chaam
1,Altena
2,Asten
3,Baarle-Nassau
4,Bergeijk
5,Bergen op Zoom
6,Bernheze
7,Best
8,Bladel
9,Boekel
10,Boxmeer
11,Boxtel
12,Breda
13,Cranendonck
14,Cuijk
15,Deurne
16,Dongen
17,Drimmelen
18,Eersel
19,Eindhoven
20,Etten-Leur
21,Geertruidenberg
22,Geldrop-Mierlo
23,Gemert-Bakel
24,Gilze en Rijen
25,Goirle
26,Grave
27,Haaren
28,Halderberge
29,Heeze-Leende
30,Helmond
31,Heusden
32,Hilvarenbeek
33,Laarbeek
34,Landerd
35,Loon op Zand
36,Meierijstad
37,Mill en Sint Hubert
38,Moerdijk
39,Nuenen c.a.
40,Oirschot
41,Oisterwijk
42,Oosterhout
43,Oss
44,Reusel-De Mierden
45,Roosendaal
46,Rucphen
47,s-Hertogenbosch
48,Sint Anthonis
49,Sint-Michielsgestel
50,Someren
51,Son en Breugel
52,Steenbergen
53,Tilburg
54,Uden
55,Valkenswaard
56,Veldhoven
57,Vught
58,Waalre
59,Waalwijk
60,Woensdrecht
61,Zundert
