Period,"finishing pigs, producer price per kg slaughter weight, farmgate, without VAT","Piglets, producer price per animal, farmgate","Slaughter sows, producer price per kg live weight, farmgate"
unit,euro/kg,euro/animal,euro/kg
2022-05-01 00:00:00,1.7,51.75,1.01
2022-04-01 00:00:00,1.77,61.0,1.1
2022-03-01 00:00:00,1.63,55.75,0.94
2022-02-01 00:00:00,1.23,33.25,0.57
2022-01-01 00:00:00,1.23,32.25,0.56
2021-12-01 00:00:00,1.24,28.5,0.56
2021-11-01 00:00:00,1.24,25.0,0.56
2021-10-01 00:00:00,1.24,25.25,0.56
2021-09-01 00:00:00,1.29,29.75,0.67
2021-08-01 00:00:00,1.37,37.25,0.81
2021-07-01 00:00:00,1.46,45.25,0.87
2021-06-01 00:00:00,1.59,56.5,0.92
2021-05-01 00:00:00,1.57,59.75,0.92
2021-04-01 00:00:00,1.57,61.75,0.9
2021-03-01 00:00:00,1.52,56.25,0.93
2021-02-01 00:00:00,1.27,38.5,0.67
2021-01-01 00:00:00,1.25,32.25,0.58
