Period,"Fattening ews, >20kg, producer price per kg slaughter weight, farmgate","Fattening rams, 22-25kg, producer price per kg slaughter weight, farmgate","Fattening sheep, producer price per kg slaughter weight, farmgate","lambs, producer price per kg slaughter weight, farmgate"
Unit,euro/kg,euro/kg,euro/kg,euro/kg
2022-04-01 00:00:00,5.85,6.3,4.85,0.0
2022-03-01 00:00:00,5.65,6.05,4.85,0.0
2022-02-01 00:00:00,5.6,6.05,4.75,0.0
2022-01-01 00:00:00,5.6,6.1,4.55,0.0
2021-12-01 00:00:00,5.55,6.0,4.5,0.0
2021-11-01 00:00:00,5.6,6.05,4.3,0.0
2021-10-01 00:00:00,5.35,5.95,4.2,0.0
2021-09-01 00:00:00,5.0,5.7,4.25,7.9
2021-08-01 00:00:00,5.05,5.75,4.25,7.4
2021-07-01 00:00:00,5.85,6.4,4.15,7.3
2021-06-01 00:00:00,6.5,7.1,4.15,7.5
2021-05-01 00:00:00,6.15,6.75,4.15,7.6
2021-04-01 00:00:00,5.9,6.55,4.05,6.25
2021-03-01 00:00:00,5.7,6.35,4.1,5.95
2021-02-01 00:00:00,5.25,5.85,3.75,6.25
2021-01-01 00:00:00,5.3,5.8,3.55,0.0
